"asn","name","source"
1,"Level 3 Communications","DB-IP"
2,"University of Delaware","DB-IP"
3,"Massachusetts Institute of Technology","PeeringDB"
4,"University of Southern California","PeeringDB"
5,"WFA Group","DB-IP"
6,"Bull HN Information Systems","PeeringDB"
7,"The Defence Science and Technology Laboratory","PeeringDB"
8,"Rice University","PeeringDB"
9,"Carnegie Mellon University","PeeringDB"
10,"CSNET Coordination and Information Center (CSNET-CIC)","DB-IP"
11,"Harvard University","PeeringDB"
12,"New York University","PeeringDB"
13,"DNIC-AS-00013","PeeringDB"
14,"Columbia University","PeeringDB"
15,"DYNAMICS","PeeringDB"
16,"Lawrence Berkeley National Laboratory","DB-IP"
17,"PURDUE","PeeringDB"
18,"UTEXAS","PeeringDB"
19,"Leidos","PeeringDB"
20,"University of Rochester","PeeringDB"
21,"RAND","PeeringDB"
22,"Navy Network Information Center (NNIC)","PeeringDB"
24,"NASA","PeeringDB"
25,"UCB","PeeringDB"
26,"Cornell","PeeringDB"
27,"UMDNET","PeeringDB"
28,"Deutsches Zentrum fuer Luft- und Raumfahrt e.V","RIPE"
29,"YALE-AS","PeeringDB"
30,"SRI-AICNET","PeeringDB"
31,"California Institute of Technology","DB-IP"
32,"Stanford University","DB-IP"
33,"Hewlett-Packard","PeeringDB"
34,"University of Delaware","DB-IP"
35,"MITRE","PeeringDB"
37,"Navy Network Information Center (NNIC)","DB-IP"
38,"UIUC","PeeringDB"
39,"DNIC-AS-00039","PeeringDB"
40,"Massachusetts Institute of Technology","PeeringDB"
42,"PCH","PeeringDB"
43,"BNL-AS","PeeringDB"
44,"Lawrence Livermore National Laboratory","DB-IP"
45,"Lawrence Livermore National Laboratory","PeeringDB"
46,"Rutgers University","PeeringDB"
47,"University of Southern California","DB-IP"
48,"Navy Network Information Center (NNIC)","DB-IP"
49,"NIST","PeeringDB"
50,"Oak Ridge National Laboratory","PeeringDB"
51,"DNIC-AS-00051","PeeringDB"
52,"University of California, Los Angeles","DB-IP"
54,"DNIC-AS-00054","PeeringDB"
55,"UPENN","PeeringDB"
56,"DoD Network Information Center","DB-IP"
57,"Northern Lights GigaPOP","PeeringDB"
59,"University of Wisconsin - Madison","PeeringDB"
60,"Advanced Information Technology Services","PeeringDB"
62,"CyrusOne","PeeringDB"
63,"Massachusetts Institute of Technology","PeeringDB"
64,"MITRE","PeeringDB"
65,"Air Force Systems Networking","PeeringDB"
68,"Los Alamos National Laboratory","DB-IP"
69,"UPENN Networking Lab","PeeringDB"
70,"National Library of Medicine","PeeringDB"
71,"Hewlett-Packard","PeeringDB"
72,"Schlumberger","PeeringDB"
73,"University of Washington","PeeringDB"
75,"Argonne National Laboratory","DB-IP"
77,"Johns Hopkins APL","PeeringDB"
78,"BT Americas","DB-IP"
